Sentence,Emotion,Translated
"Yeah! No, that's right. And I thought it was a really good idea.",happiness,"Ouais!Non, c'est vrai.Et je pensais que c'était une très bonne idée."
"I know, I remember that!",happiness,"Je sais, je m'en souviens!"
I remember you did.,happiness,Je me souviens que tu l'as fait.
God!! What am I gonna do?!,happiness,Dieu!!Que vais-je faire ?!
"Well, Chandler, you're gonna have to tell him.",happiness,"Eh bien, Chandler, tu vas devoir lui dire."
Why?! Why do I have to tell him?!,happiness,Pourquoi?!Pourquoi dois-je lui dire ?!
Because you do.,happiness,Parce que tu le fais.
"Yeah, I know.",neutral,"Ouais, je sais."
"Hey, would it be okay if I wrote a song about this.",happiness,"Hé, serait-ce bien si j'écrivais une chanson à ce sujet."
"Oh my God, he's lost it. He's totally lost it.",fear,"Oh mon Dieu, il l'a perdu.Il l'a totalement perdu."
What?,neutral,Quoi?
"Phoebe, his music could not get any worse. There are rats in the basement that are hanging themselves.",anger,"Phoebe, sa musique ne pouvait pas empirer.Il y a des rats au sous-sol qui se pendent."
"Thank you, thanks. Yeah, I lost it. Y'know, I'm not gonna play anymore, would you, can you finish my set?",fear,"Merci, merci.Ouais, je l'ai perdu.Tu sais, je ne vais plus jouer, tu veux-tu terminer mon set?"
"After that? Yeah! No, I mean if I can help.",neutral,"Après cela?Ouais!Non, je veux dire si je peux aider."
"Yeah, like I could lose it.",neutral,"Ouais, comme si je pouvais le perdre."
What?,neutral,Quoi?
I played bad on purpose guys.,happiness,J'ai joué mal exprès les gars.
"Okay, so you were trying to play bad this whole time.",neutral,"D'accord, alors vous essayiez de jouer mal tout ce temps."
"Yeah-no, just that last song.",neutral,"Ouais non, juste cette dernière chanson."
Hello.,neutral,Bonjour.
"Hey, it's me. I know you can't stand to be in the same room as me, so I just thought I'd try and apologize over the phone. All I...",fear,"Hé, c'est moi.Je sais que vous ne pouvez pas supporter d'être dans la même pièce que moi, alors je pensais juste essayer de m'excuser par téléphone.Tout ce que ..."
Hello.,neutral,Bonjour.
"Look I never should have kissed your girlfriend, but I'm...",anger,"Écoute, je n'aurais jamais dû embrasser ta petite amie, mais je suis ..."
Stop callin'!!,anger,Arrêtez de Call '!!
"Hey! Hey! Hey! This is 92.3, WXRK, K-Rock for our $1,000 daily challenge.",neutral,"Hé!Hé!Hé!C'est 92,3, WXRK, K-Rock pour notre défi quotidien de 1 000 $."
All right!,neutral,D'accord!
"What is the name of your roommate who is very, very sorry and would do anything...",anger,"Quel est le nom de votre colocataire qui est très, très désolé et ferait n'importe quoi ..."
Hey!,neutral,Hé!
Hey!,neutral,Hé!
What are you doing?,neutral,Que fais-tu?
I'm sending back all this stuff that Chandler bought out of guilt.,fear,Je renvoie toutes ces choses que Chandler a achetées de culpabilité.
Everything? Even the TV?,happiness,Tout?Même le téléviseur?
No! I'm putting that in my room.,happiness,Non!Je mets ça dans ma chambre.
"Listen, Joey, I know what he did was wrong but don't you think you could at least hear the guy out?",neutral,"Écoutez, Joey, je sais que ce qu'il a fait était mal, mais ne pensez-vous pas que vous pourriez au moins entendre le gars?"
"Back when you and Rachel were together, if Chandler had kissed her, would you hear him out?",neutral,"À l'époque où vous et Rachel étiez ensemble, si Chandler l'avait embrassée, l'entendriez-vous?"
"That's a good point. So uh, how long are you gonna punish him?",neutral,"C'est un bon point.Alors euh, combien de temps vas-tu le punir?"
Five years.,neutral,Cinq ans.
You've sentenced him?!,fear,Vous l'avez condamné ?!
Hey! Don't do the crime if you can't do the time.,happiness,Hé!Ne faites pas le crime si vous ne pouvez pas faire le temps.
"Joey, the guy's your best friend.",happiness,"Joey, le gars est votre meilleur ami."
"No, was my best friend. Anyway, I don't know why you're pushing for him so hard. With him out of the way as my best friend, there's a spot open.",happiness,"Non, c'était mon meilleur ami.Quoi qu'il en soit, je ne sais pas pourquoi vous le poussez si fort.Avec lui à l'écart comme mon meilleur ami, il y a un endroit ouvert."
"Oh, who? Me?",happiness,"Oh, qui?Moi?"
Yeah!,happiness,Ouais!
Wow! I'm honored! And y'know what I'm gonna do as my first act as your best friend?,happiness,Ouah!Je suis honoré!Et tu sais ce que je vais faire comme mon premier acte comme ton meilleur ami?
What?,happiness,Quoi?
I'm gonna get you to talk to Chandler.,happiness,Je vais te faire parler à Chandler.
All right. But if you weren't my best friend.,sadness,D'accord.Mais si vous n'étiez pas mon meilleur ami.
"Oh my God, is it really that bad?",happiness,"Oh mon Dieu, est-ce vraiment si mauvais?"
"I walk into a room and he won't even talk to me, he just mumbles something in Italian. And I know he only knows the bad words.",sadness,"Je marche dans une pièce et il ne me parle même pas, il marmonne quelque chose en italien.Et je sais qu'il ne connaît que les mauvais mots."
"Hey Gunther, have you uh, have you seen Chandler?",neutral,"Hey Gunther, as-tu euh, tu as vu Chandler?"
"I thought you were Chandler. But umm, one of who is over there.",neutral,"Je pensais que tu étais Chandler.Mais umm, l'un de qui est là-bas."
Oh.,neutral,Oh.
Hey Joe.,neutral,Hey Joe.
"I'll be right with you. Okay? Thanks, Wendy.",happiness,"Je vais avoir raison avec toi.D'accord?Merci, Wendy."
Oh my God! How cute is the on-call doctor?,happiness,Oh mon Dieu!À quel point le docteur sur appel est-il mignon?
"Ooh, so cute, that I'm thinking about jamming this pen in my eye.",happiness,"Ooh, si mignon, que je pense à bloquer ce stylo dans mes yeux."
Dr. Burke will see you know.,happiness,Le Dr Burke vous verra le savoir.
"Oh no-no-no, not Dr. Burke. Dr. Burke is out of town. The-the on-call doctor will see me now.",neutral,"Oh non-non, pas le Dr Burke.Le Dr Burke est hors de la ville.Le docteur sur appel me verra maintenant."
"Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now.",happiness,"Le Dr Richard Burke est hors de la ville.Le Dr Timothy Burke, son fils, vous verra maintenant."
Ready?,happiness,Prêt?
Hey! I'm sorry! That- where are you going?,fear,Hé!Je suis désolé!Ça - où vas-tu?
My folks.,happiness,Mes parents.
"Oh, uh, when-when are you coming back?",fear,"Oh, euh, quand-quand reviens-tu?"
I don't know. I might stay there for a few days while I look for an apartment.,happiness,Je ne sais pas.Je pourrais y rester quelques jours pendant que je cherche un appartement.
What?!,fear,Quoi?!
"Yeah, y'know at first I thought we could talk about this y'know, work it out, but uh, seeing you two together I don't think I...",sadness,"Ouais, tu sais qu'au début, je pensais que nous pouvions parler de ça, tu sais, mais euh, te voir ensemble, je ne pense pas que je ..."
"Hey, look, what do you want me to say? Do you want me to say that I'll stop seeing her?",fear,"Hé, regarde, que veux-tu que je dise?Voulez-vous que je dise que je vais arrêter de la voir?"
"Look, it's not about her. Okay? But seeing you two together just reminds me of what you did. And I don't want to live with some one who doesn't know what it is to be a friend. So, I'll see ya.",happiness,"Écoutez, ce n'est pas pour elle.D'accord?Mais vous voir ensemble me rappelle ce que vous avez fait.Et je ne veux pas vivre avec quelqu'un qui ne sait pas ce que c'est d'être un ami.Alors, je te verrai."
"Hey, look, I know what it is to be a friend, I just-I just screwed up!",sadness,"Hé, regardez, je sais ce que c'est que d'être un ami, je viens de foutre!"
Yeah! You did! And that's why I'm leaving.,anger,Ouais!Vous l'avez fait!Et c'est pourquoi je pars.
"All right look, if you're not gonna stay for me, then at least stay for them! Okay, they have had a very difficult year! What with the robbery and all!",sadness,"Très bien, regardez, si vous ne resterez pas pour moi, alors restez au moins pour eux!D'accord, ils ont eu une année très difficile!Quoi avec le vol et tout!"
"When that guy was robbing us, and I was locked in the entertainment unit for like six hours, you know what I was doing in there all that time? I was thinking about how I let you down!",anger,"Quand ce type nous privait et que j'étais enfermé dans l'unité de divertissement pendant six heures, vous savez ce que je faisais là-dedans pendant tout ce temps?Je pensais à la façon dont je vous laisse tomber!"
What?,anger,Quoi?
"Yeah! But if would've know what kind of friend you were gonna turn out to be, I wouldn't have worried about it so much! See you around!",anger,"Ouais!Mais si je savais quel genre d'ami vous alliez être, je ne m'aurais pas tellement inquiété!À un de ces quatre!"
"All right, wait! Come on! Just wait one second! There has to be something that I can do! Something! If we still had that entertainment unit I would get in it for six hours and think about how I let you down. What?",sadness,"Très bien, attendez!Allez!Attendez une seconde!Il doit y avoir quelque chose que je peux faire!Quelque chose!Si nous avions encore cette unité de divertissement, j'y mettrais pendant six heures et je réfléchirais à la façon dont je vous laisse tomber.Quoi?"
We've got a box.,happiness,Nous avons une boîte.
"Last time I saw you, it was the morning I left for college. And you were just standing outside The Dairy Queen.",neutral,"La dernière fois que je t'ai vu, c'était le matin que je suis parti pour l'université.Et vous vous teniez juste à l'extérieur de la reine laitière."
I was probably waiting for it to open.,neutral,J'attendais probablement qu'il s'ouvre.
"I gotta tell you, you look great now.",happiness,Je dois te dire que tu as l'air super maintenant.
You look great too.,happiness,Tu as l'air super aussi.
You're an excellent patient!,happiness,Vous êtes un excellent patient!
So how does it look?,neutral,"Alors, à quoi ça ressemble?"
"Well, you've got a little scratch on your cornea, your gonna have to wear a patch for a couple of days.",neutral,"Eh bien, vous avez une petite égratignure sur votre cornée, vous allez devoir porter un patch pendant quelques jours."
Like a pirate?!,fear,Comme un pirate ?!
If that helps you.,neutral,Si cela vous aide.
"Umm, so how long have you been working with your dad? Come on, one of us had to mention him.",neutral,"Umm, alors depuis combien de temps travaillez-vous avec votre père?Allez, l'un de nous devait le mentionner."
I moved back here a couple of months ago.,neutral,Je suis revenu ici il y a quelques mois.
Oh. Big family dinner tonight?,neutral,Oh.Grand dîner de famille ce soir?
Uh.,neutral,Euh.
No way!,fear,Certainement pas!
I was gonna have Thanksgiving at my girlfriend's.,neutral,J'allais avoir Thanksgiving chez ma copine.
Oh.,sadness,Oh.
But we broke up.,neutral,Mais nous avons rompu.
Oh.,happiness,Oh.
She-she wasn't ready for a serious commitment.,sadness,Elle n'était pas prête pour un engagement sérieux.
"Oh. So you made her walk the plank? Aye, matie?",happiness,"Oh.Alors tu l'as fait marcher sur la planche?Oui, Matie?"
You're not wearing the patch yet.,neutral,Vous ne portez pas encore le patch.
I know.,neutral,Je sais.
"Oh, he sees her!",happiness,"Oh, il la voit!"
"Oh, he's catching up to her!",happiness,"Oh, il la rattrape!"
"Oh, she sees him! Oh, they're hugging!",happiness,"Oh, elle le voit!Oh, ils se serrent embrassés!"
He's taking her purse!,fear,Il prend son sac!
"Uhh, that's not them. I'm gonna go call the police.",fear,"Euh, ce n'est pas eux.Je vais appeler la police."
"Oh, there they are!",happiness,"Oh, ils sont là!"
"All right, get a room.",neutral,"Très bien, obtenez une chambre."
Okay!,neutral,D'accord!
"Come on, no peeking!",happiness,"Allez, pas de piant!"
Our eyes are closed and we're about to cross the street. Very good.,happiness,Nos yeux sont fermés et nous sommes sur le point de traverser la rue.Très bien.
"Okayyyyy, open up!",happiness,"Okyyyyy, ouvrez!"
What did you want to show us? Because all I can see is this bitchin' van!,happiness,"Que vouliez-vous nous montrer?Parce que tout ce que je peux voir, c'est cette camionnette salope!"
"Yeah, it's for our catering business!",happiness,"Ouais, c'est pour notre entreprise de restauration!"
I think I know that girl.,neutral,Je pense que je connais cette fille.
"All right, umm, we're not gonna really keep it this way though.",neutral,"Très bien, euh, nous ne allons pas vraiment le garder comme ça."
No?,neutral,Non?
"No, we're gonna paint over the sword, and replace it with a baguette.",happiness,"Non, nous allons peindre sur l'épée et le remplacer par une baguette."
Oh!,sadness,Oh!
"And also, we don't know what to do with this.",happiness,"Et aussi, nous ne savons pas quoi en faire."
"Oh yeah, I definitely know her.",happiness,"Oh ouais, je la connais vraiment."
"Oh, uh, Joanna I was wondering if I could ask you something. There's an opening for an assistant buyer in Junior Miss...",happiness,"Oh, euh, Joanna, je me demandais si je pouvais te demander quelque chose.Il y a une ouverture pour un acheteur adjoint à Junior Miss ..."
"Okay, but that would actually be a big step down for me.",happiness,"D'accord, mais ce serait en fait un grand pas vers le bas pour moi."
"Well, actually, I meant for me. The hiring committee is meeting people all day and...",happiness,"Eh bien, en fait, je voulais dire pour moi.Le comité d'embauche rencontre des gens toute la journée et ..."
"Oh. Well, I wish I could say no, but you can't stay my assistant forever. Neither can you Sophie, but for different reasons.",happiness,"Oh.Eh bien, j'aimerais pouvoir dire non, mais vous ne pouvez pas rester mon assistant pour toujours.Vous ne pouvez pas non plus Sophie, mais pour différentes raisons."
"God, I am so glad you don't have a problem with this, because if you did, I wouldn't even consider applying.",happiness,"Dieu, je suis tellement content que vous n'ayez pas de problème avec cela, parce que si vous le faisiez, je n'envisagerais même pas de postuler."
"Really? Well, in that case...",fear,"Vraiment?Eh bien, dans ce cas ..."
And that's I'm so glad... there's no problem.,fear,Et c'est tellement content ... il n'y a pas de problème.
"That's fine, actually I'm on the hiring committee, so there'll be at least one friendly face.",happiness,"C'est bien, en fait, je suis au comité d'embauche, donc il y aura au moins un visage amical."
Ohh! That's great!,happiness,Ohh!C'est super!
"You know, Junior Miss is where I started. Oh, I had to sleep with the ugliest guy to get that job.",happiness,"Vous savez, Junior Miss est l'endroit où j'ai commencé.Oh, j'ai dû coucher avec le gars le plus laid pour obtenir ce travail."
Really?!,fear,Vraiment?!
"No-ho-ho! Yeah. I mean, no-no-no-no-no, don't you worry, I'm sure with your qualifications you won't need to sleep with some guy to get that job. Although, I might need some convincing.",sadness,"No-ho-ho!Ouais.Je veux dire, non pas pas de non, pas, ne vous inquiétez pas, je suis sûr qu'avec vos qualifications, vous n'aurez pas besoin de coucher avec un gars pour obtenir ce travail.Cependant, je pourrais avoir besoin de convaincre."
"Well, I, umm...",happiness,"Eh bien, moi, euh ..."
"Kidding! God, I feel wild today!",happiness,"Blague!Dieu, je me sens sauvage aujourd'hui!"
Oh man! I am so excited-I may vomit!,happiness,Oh mec!Je suis tellement excité - je peux vomir!
"Will you calm down, he's just a human guy.",happiness,"Voulez-vous vous calmer, c'est juste un gars humain."
"Look you don't understand, Gandolf is amazing. Y'know you're never know what's gonna end up happening, you go out for a couple of beers and end up on a fishing boat to Nova Scotia!",happiness,"Écoutez que vous ne comprenez pas, Gandolf est incroyable.Vous savez que vous ne savez jamais ce qui va finir par se produire, vous sortez pour quelques bières et vous vous retrouvez sur un bateau de pêche en Nouvelle-Écosse!"
Really?!,happiness,Vraiment?!
"Oh yeah, it's beautiful country up there.",happiness,"Oh ouais, c'est un beau pays là-haut."
"Hey! Okay! I got my passport, fresh socks, and a snake bite kit!",happiness,"Hé!D'accord!J'ai eu mon passeport, mes chaussettes fraîches et un kit de morsure de serpent!"
It's not gonna be exactly like last time.,happiness,Ce ne sera pas exactement comme la dernière fois.
"All right, I'll see you guys.",happiness,"Très bien, je vous verrai les gars."
Whoa-whoa-whoa!,happiness,Whoa-whoa-whoa!
Whoa-wh-wh-whoa-whoa-whoa-whoa!,fear,Whoa-wh-wh-whoa-whoa-whoa-whoa!
"I have an audition, but I'll definitely hook up with you later. Where are you gonna be around noon?",neutral,"J'ai une audition, mais je vais certainement vous connecter plus tard.Où vas-tu être vers midi?"
Somewhere maybe along the equator?,happiness,Quelque part peut-être le long de l'équateur?
Okay.,happiness,D'accord.
"Hello. It's Gandolf!!! So, are you in town? Oh, well, well maybe next time then.",sadness,"Bonjour.C'est Gandolf !!!Alors, tu es en ville?Oh, eh bien peut-être la prochaine fois alors."
What happened?,happiness,Ce qui s'est passé?
"He's not gonna make it, he's stuck in Chicago.",sadness,"Il ne va pas y arriver, il est coincé à Chicago."
"Ohh, man! Chicago, is sooo lucky!",happiness,"Oh, mec!Chicago, a tellement de chance!"
"Stupid, useless Canadian money!",anger,Argent canadien stupide et inutile!
"You have a very impressive resume, Ms. Green. I especially like what I see here about implementing a new filing system.",happiness,"Vous avez un CV très impressionnant, Mme Green.J'aime particulièrement ce que je vois ici sur la mise en œuvre d'un nouveau système de classement."
Thank you.,happiness,Merci.
Filing system? Oh-oh! You mean those-those little colored labels you put on all the folders? It certainly did brighten up the inside of the filing cabinets.,happiness,Système de classement?Oh-oh!Vous voulez dire ces petites étiquettes colorées que vous mettez sur tous les dossiers?Il a certainement égayé l'intérieur des classeurs.
"Well, they uh, they-they do more than that.",anger,"Eh bien, ils euh, ils font plus que cela."
I notice that you've been trusted with a lot of rather important responsibilities.,happiness,Je remarque que vous avez fait confiance à de nombreuses responsabilités assez importantes.
"Yes, Joanna really has been an incredible mentor to me.",happiness,"Oui, Joanna a vraiment été un mentor incroyable pour moi."
Oh. And Rachel has been really incredible in getting my morning bagel for me. It's amazing how she gets it right almost every time!,happiness,Oh.Et Rachel a été vraiment incroyable pour obtenir mon bagel du matin pour moi.C'est incroyable de voir comment elle réussit presque à chaque fois!
"I-I-I of course, I have more responsibilities than that.",anger,"I-I-I I-I bien sûr, j'ai plus de responsabilités que cela."
"Oh yes, well there's the coffee too. Rachel can carry two things at once!",fear,"Oh oui, bien il y a aussi le café.Rachel peut porter deux choses à la fois!"
"Yes, that's very good. Now a uh, big part of this job is cultivating personal relationships, especially with designers.",happiness,"Oui, c'est très bien.Maintenant, une grande partie de ce travail est de cultiver des relations personnelles, en particulier avec les designers."
"Yes, I realize that...",happiness,"Oui, je me rends compte que ..."
"And Rachel shouldn't have any problem with that. The only problem might be getting a little too friendly, if you know what I mean.",neutral,"Et Rachel ne devrait pas avoir de problème avec cela.Le seul problème pourrait être de devenir un peu trop amical, si vous savez ce que je veux dire."
I love working with designers!,happiness,J'adore travailler avec des designers!
"With them, under them, what's the difference? Eh, Rach?",fear,"Avec eux, sous eux, quelle est la différence?Eh, Rach?"
Hey! My first review is out!,happiness,Hé!Ma première critique est sortie!
"Ohh! Oh, the Chelsea Reporter, ohh, this used to keep me so warm.",happiness,"Ohh!Oh, le journaliste de Chelsea, ohh, cela me gardait si au chaud."
"All right, look at my on the back page.",neutral,"Très bien, regardez ma page en arrière."
"Oh, okay! ""Would I go back to Allesandro's? Sure, but I'd have to order two meals, one for me and one for the guy pointing the gun to my head."" Wow! You really laid into this place.",neutral,"Oh d'accord!""Est-ce que je retournerais chez Allesandro's? Bien sûr, mais je devrais commander deux repas, un pour moi et un pour le gars pointant le pistolet à ma tête.""Ouah!Vous avez vraiment jeté cet endroit."
"Hey, they don't pay me a penny a word to make friends.",happiness,"Hé, ils ne me paient pas un sou un mot pour me faire des amis."
"Ooh, I gotta go. I found a guy that who could fix up the van for catering.",happiness,"Ooh, je dois y aller.J'ai trouvé un gars qui pourrait réparer la camionnette pour la restauration."
Oh! Do you need me to go with you?,happiness,Oh!Avez-vous besoin de moi pour vous avec vous?
"No-no, it's okay. But are we sure we don't want the waterbed?",sadness,"Non-non, ça va.Mais sommes-nous sûrs que nous ne voulons pas du lit à eau?"
Haven't we made this decision?,happiness,N'avons-nous pas pris cette décision?
"Yeah, all right.",fear,"Ouais, d'accord."
Bye!,neutral,Au revoir!
Bye!,neutral,Au revoir!
Who is it?,happiness,Qui est-ce?
"It's Allesandro, from Allesandro's.",neutral,"C'est Allesandro, de ceux d'Allesandro."
Oh my God.,neutral,Oh mon Dieu.
I want to talk to you about your review.,happiness,Je veux vous parler de votre critique.
"Oh my God, oh my God. Call me on the phone!",happiness,"Oh mon Dieu, oh mon Dieu.Appelez-moi au téléphone!"
Why? So you could hang up on me?,happiness,Pourquoi?Alors tu pourrais raccrocher à moi?
"Look, I-I'm never gonna let you up so you may as well just go away.",happiness,"Regardez, je ne vous laisse jamais vous laisser en place, donc vous pouvez aussi bien partir."
Just give me a chance too...,happiness,Donnez-moi juste une chance aussi ...
"Hey, do you need to get in? Here you go.",neutral,"Hé, tu as besoin d'entrer?Voici."
No! Phoebe!,neutral,Non!Phoebe!
"Hey, Monica!",neutral,"Hé, Monica!"
I want a retraction! Our food is not inedible swill!,anger,Je veux une rétraction!Notre nourriture n'est pas non comestible!
"I couldn't eat it! I had five friends who couldn't eat it, and one of them eats books.",anger,"Je ne pouvais pas le manger!J'avais cinq amis qui ne pouvaient pas le manger, et l'un d'eux mange des livres."
Well our service is not grossly incompetent.,anger,"Eh bien, notre service n'est pas largement incompétent."
The waiter carried the breadsticks in his pants!,anger,Le serveur a porté les grenards dans son pantalon!
"Well, you said that we except the Discover Card, which we do not!",anger,"Eh bien, vous avez dit que nous sauf la carte de découverte, ce que nous ne faisons pas!"
"All right, that I'll retract. But I stand by my review, I know food and that wasn't it. You're marinara sauce tasted like tomato juice! You should serve it with vodka and a piece of celery.",happiness,"Très bien, que je vais rétracter.Mais je tiens à ma critique, je connais la nourriture et ce n'était pas tout.Votre sauce marinara a goûté au jus de tomate!Vous devriez le servir avec de la vodka et un morceau de céleri."
"Hey! I'm proud of that sauce, it's delicious.",happiness,"Hé!Je suis fier de cette sauce, c'est délicieux."
Oh my God! You own an Italian restaurant and you think that tastes good?! Where are you even from?,anger,Oh mon Dieu!Vous possédez un restaurant italien et vous pensez que cela a bon goût ?!D'où venez-vous?
Lebanon.,fear,Liban.
"Hand me those tomatoes, I'm gonna show you what it should taste like! Come on, hand me them.",happiness,"Donne-moi ces tomates, je vais te montrer à quoi il devrait avoir le goût!Allez, remettez-moi-moi."
How long is this gonna take? 'Cause I got another critic to go yell at.,anger,Combien de temps cela va-t-il durer?Parce que j'ai demandé à un autre critique de crier.
Hey! What are you guys doing here? I thought you'd be out partying with Gandel-worf.,happiness,Hé!Que faites-vous ici?Je pensais que tu serais en train de faire la fête avec Gandel-Worf.
"It's Gandolf, and he's not coming.",happiness,"C'est Gandolf, et il ne vient pas."
So you've been sittin' around here all mornin'?,neutral,Alors tu as été assis ici tout le matin?
No! I balanced my checkbook.,happiness,Non!J'ai équilibré mon chéquier.
"Yeah, and I-I gave first names to all of the foosball players.",happiness,"Ouais, et I-I a donné des prénoms à tous les joueurs de baby-foot."
I can't believe he didn't come!,fear,Je ne peux pas croire qu'il ne soit pas venu!
So what if he didn't come! We can still go out and party ourselves!,happiness,Et s'il ne venait pas!Nous pouvons encore sortir et faire la fête nous-mêmes!
"Oh-no, y'know with Gandolf we'd be out all night!",fear,"Oh-non, tu sais avec Gandolf, nous serions sortis toute la nuit!"
"Yeah! We'd meet, we'd meet total strangers, and hang out with them!",happiness,"Ouais!Nous nous rencontrerions, nous rencontrerions un total d'étrangers et passons du temps avec eux!"
"Well, we could do that!",happiness,"Eh bien, nous pourrions faire ça!"
There's other stuff too.,happiness,Il y a aussi d'autres trucs.
"We'll do it all, and better! Look, after tonight, Gandolf will want to party with us, dude! Come on!",happiness,"Nous ferons tout, et mieux!Regardez, après ce soir, Gandolf voudra faire la fête avec nous, mec!Allez!"
Yeah!,happiness,Ouais!
Yeah!,happiness,Ouais!
Yeah!!,happiness,Ouais!!
Yeah!!,happiness,Ouais!!
It's not like we don't know how to party!!,anger,Ce n'est pas comme si nous ne savions pas comment faire la fête !!
Yeah! All right? Let's go!,happiness,Ouais!D'accord?Allons-y!
And may-maybe we could end up on a boat again?,happiness,Et peut-être que nous pourrions nous retrouver sur un bateau?
Yeah!!!,happiness,Ouais!!!
All right!!,happiness,D'accord!!
"Hey-hey-hey, when uh, when were we on a boat?",neutral,"Hey-hey-hey, quand euh, quand étions-nous sur un bateau?"
"Remember that really cold morning, you woke up and those dogs were licking your face?",happiness,"Rappelez-vous ce matin vraiment froid, vous vous êtes réveillé et que ces chiens vous lèchent le visage?"
Yeah.,happiness,Ouais.
"Well, those were seals, man.",happiness,"Eh bien, c'étaient des phoques, mec."
"All right, so we'll get a little coffee, and get energized, and we'll head back out.",neutral,"Très bien, nous allons donc prendre un peu de café et nous faire dynamiser, et nous retournerons."
"Yeah, all right.",neutral,"Ouais, d'accord."
Okay.,neutral,D'accord.
"So, we're having fun, right?",neutral,"Alors, nous nous amusons, non?"
Yeah.,neutral,Ouais.
"We don't need that wizard guy. We hit a couple of clubs, talked to some strangers, and uh, after this, we'll head down to the docks and see about that boat thing.",fear,"Nous n'avons pas besoin de ce gars-là.Nous avons frappé quelques clubs, parlé à des étrangers, et euh, après cela, nous nous dirigerons vers les quais et verrons ce truc de bateau."
I'm kinda beat.,neutral,Je suis un peu battu.
"Actually, me too.",happiness,"En fait, moi aussi."
Are you serious?!,happiness,Êtes-vous sérieux?!
Yeah.,neutral,Ouais.
Thank God! I'm exhausted!,happiness,Dieu merci!Je suis épuisé!
So you guys want coffees?,fear,Alors vous voulez des cafés?
"Yeah, but uh, I don't want to be up too late, so uh, I'll have a decaf.",happiness,"Ouais, mais euh, je ne veux pas être trop tard, donc euh, j'aurai un décaf."
"Yeah, me too.",happiness,"Ouais, moi aussi."
"Actually, can I get some hot water with a little lemon? I think I strained my voice screaming in there. Does it have to be so loud?",neutral,"En fait, puis-je avoir de l'eau chaude avec un peu de citron?Je pense que j'ai tendu ma voix en criant là-dedans.Doit-il être si fort?"
"I can't hear a word you're saying, my ears are ringing so bad.",neutral,"Je n'entends pas un mot que tu dis, mes oreilles sonnent si mal."
"I'm just glad I brought that extra pair of socks, y'know? I used them as mittens, I didn't want to touch a thing in that last place.",sadness,"Je suis juste content d'avoir apporté cette paire de chaussettes supplémentaires, tu sais?Je les ai utilisés comme mitaines, je ne voulais rien toucher à cette dernière place."
How sad are we?,neutral,À quel point sommes-nous tristes?
"Yeah, I know.",happiness,"Ouais, je sais."
"Y'know what? We're not sad, we're not sad, we're just not 21 anymore. Y'know? I'm 29 years old, damnit! And I want to sit in a comfortable chair, and watch television and go to bed at a reasonable hour!",fear,"Tu sais quoi?Nous ne sommes pas tristes, nous ne sommes pas tristes, nous n'en avons plus 21 ans.Tu sais?J'ai 29 ans, putain!Et je veux m'asseoir sur une chaise confortable, regarder la télévision et aller se coucher à une heure raisonnable!"
Yeah!,neutral,Ouais!
Yeah! And I like to hang out in a quiet place where I can talk to my friends.,happiness,Ouais!Et j'aime passer du temps dans un endroit calme où je peux parler à mes amis.
Yeah!,neutral,Ouais!
"And so what if I like to go home, throw on some Kenny G, and take a bath!",happiness,"Et donc si j'aime rentrer chez moi, enfiler un Kenny G et prendre un bain!"
"We're 29, we're not women.",fear,"Nous avons 29 ans, nous ne sommes pas des femmes."
"Ohh, here you are. Y'know, I'm-I'm glad you decided to hear me out.",fear,"Ohh, voici.Tu sais, je suis content que tu as décidé de m'entendre."
"Okay, I'm hearing.",happiness,"D'accord, j'entends."
"I've been doing a lot of thinking. A lot! And umm, well, I came up with a whole bunch of businesses you can do with your van. Okay umm, you could be flower delivery person.",happiness,"J'ai beaucoup réfléchi.Beaucoup!Et Umm, eh bien, j'ai trouvé tout un tas d'entreprises que vous pouvez faire avec votre camionnette.Ok Umm, vous pourriez être un livreur de fleurs."
What?!,happiness,Quoi?!
Or! A bakery delivery person.,happiness,Ou!Un livreur de boulangerie.
I wa-I wa-I wa...,neutral,"C'est différent, c'est différent..."
Pizza?!,neutral,Pizza?!
Monica!,neutral,Monica!
"All right, I've got a whole bunch of uh-uh, stuff in this area, but umm, I'm getting the feeling that you don't want to deliver.",happiness,"Très bien, j'ai tout un tas de euh-uh, des trucs dans ce domaine, mais euh, j'ai le sentiment que vous ne voulez pas livrer."
No.,happiness,Non.
"Okay. I'm guessing that if you don't want to deliver, you probably don't want to pick stuff up either.",happiness,"D'accord.Je suppose que si vous ne voulez pas livrer, vous ne voulez probablement pas non plus ramasser de choses."
No.,happiness,Non.
"Y'know what, let's do the catering business.",happiness,"Vous savez quoi, faisons le secteur de la restauration."
Really?! Are you sure?,fear,Vraiment?!Es-tu sûr?
"Yeah, y'know I-I made a commitment to you. Y'know what, it'd be, it'd be fun.",fear,"Ouais, tu sais que je me suis engagé envers toi.Vous savez quoi, ce serait, ce serait amusant."
"Oh! It will be fun! Ohh! Yay! Oh! Okay, ooh, let's plan the wedding reception. Wow! You really wanted me to do something with this van. Y'know what, I want you to take the chef job.",fear,"Oh!Ce sera amusant!Ohh!Ouais!Oh!D'accord, ooh, planifions la réception de mariage.Ouah!Tu voulais vraiment que je fasse quelque chose avec cette camionnette.Vous savez quoi, je veux que vous preniez le travail du chef."
Really?!,happiness,Vraiment?!
